state,country,shape,latitude,longitude 
sc,us,triangle,34.6422222,-82.4561111
ma,us,triangle,41.6527778,-70.2833333
il,us,triangle,41.1416667,-87.875
or,us,light,43.4222222,-123.2972222
va,us,other,36.6913889,-79.8727778
sc,us,triangle,33.0183333,-80.1758333
fl,us,light,28.0391667,-81.95
ut,us,triangle,41.7355556,-111.8336111
or,us,light,45.5236111,-122.675
or,us,fireball,45.2113889,-122.9755556
wa,us,disk,47.0566667,-122.7
nm,us,fireball,35.2333333,-106.6638889
co,us,light,37.2255556,-107.5975
ca,us,sphere,37.775,-122.4183333
il,us,disk,42.0372222,-88.2811111
ca,us,fireball,32.9594444,-117.2644444
ca,us,fireball,32.8472222,-117.2733333
nh,us,oval,42.9955556,-71.4552778
ia,us,triangle,40.7419444,-95.0380556
,gb,fireball,53.383333,-2.6
il,,formation,39.987271,-90.763463
il,us,triangle,40.3513889,-90.3244444
wi,us,other,44.7930556,-89.7030556
tx,us,fireball,29.4238889,-98.4933333
il,us,light,41.8327778,-87.9288889
or,us,light,45.5236111,-122.675
oh,us,triangle,41.3683333,-82.1077778
ny,us,unknown,40.7141667,-74.0063889
ok,us,cigar,35.2225,-97.4391667
nv,us,light,36.175,-115.1363889
nv,,light,36.241416,-115.050807
fl,us,unknown,25.7738889,-80.1938889
mo,us,chevron,39.0911111,-94.4152778
,,formation,51.312374,3.132768
wa,us,formation,47.3444444,-122.7619444
mi,us,disk,41.7991667,-85.4191667
on,ca,cigar,43.866667,-79.266667
,,disk,31.84694,120.872862
ca,us,light,36.9613889,-120.0597222
ca,us,sphere,37.9577778,-121.2897222
az,us,cigar,33.3061111,-111.8405556
ca,us,unknown,37.5202778,-122.2747222
or,us,unknown,44.3,-120.8333333
,gb,triangle,56.15,-3.75
md,us,triangle,39.0397222,-77.0555556
fl,us,other,30.1658333,-81.7066667
co,us,light,38.8338889,-104.8208333
mo,us,light,40.3461111,-94.8722222
,,light,-37.653829,145.517006
tn,us,triangle,35.6144444,-88.8138889
ny,us,diamond,42.9047222,-76.3944444
wa,us,,47.6063889,-122.3308333
mo,us,light,39.0997222,-94.5783333
mi,us,triangle,44.3147222,-84.7647222
me,us,oval,44.1897222,-70.1408333
ca,,triangle,36.778261,-119.417932
