"country","datetime","count"
"ca","5/19/2013",2
"ca","5/20/2005",1
"ca","5/20/2007",1
"ca","5/20/2010",1
"ca","5/20/2011",1
"ca","5/20/2012",5
"ca","5/20/2013",1
"ca","5/21/2006",3
"ca","5/21/2007",1
"ca","5/21/2011",4
"ca","5/21/2012",1
"ca","5/22/2005",1
"ca","5/22/2006",1
"ca","5/22/2009",1
"ca","5/22/2010",1
"ca","5/22/2011",2
"ca","5/23/2007",1
"ca","5/23/2011",1
"ca","5/24/2008",2
"ca","5/24/2009",2
"ca","5/24/2010",1
"ca","5/24/2012",1
"ca","5/24/2013",1
"ca","5/25/2005",1
"ca","5/25/2008",3
"ca","5/25/2009",2
"ca","5/25/2012",1
"ca","5/25/2013",1
"ca","5/26/2012",3
"ca","5/26/2013",2
"ca","5/27/2007",1
"ca","5/27/2013",1
"ca","5/28/2005",1
"ca","5/28/2006",2
"ca","5/28/2007",1
"ca","5/29/2006",1
"ca","5/29/2007",2
"ca","5/29/2009",1
"ca","5/30/2005",1
"ca","5/30/2008",1
"ca","5/30/2011",1
"ca","5/30/2013",1
"ca","5/31/2007",1
"ca","5/31/2012",1
"ca","5/31/2013",1
"ca","6/13/2005",1
"ca","6/13/2006",1
"ca","6/13/2010",1
"ca","6/13/2012",2
"ca","6/14/2005",2
"ca","6/14/2011",1
"ca","6/14/2012",1
"ca","6/15/2005",1
"ca","6/15/2006",2
"ca","6/15/2010",1
"ca","6/15/2012",1
"ca","6/15/2013",3
"ca","6/16/2006",2
"ca","6/16/2008",1
"ca","6/16/2012",2
"ca","6/16/2013",1
"ca","6/17/2007",3
"ca","6/17/2010",1
"ca","6/17/2011",1
"ca","6/17/2012",3
"ca","6/17/2013",1
"ca","6/18/2008",1
"ca","6/18/2010",1
"ca","6/18/2011",2
"ca","6/19/2005",1
"ca","6/19/2007",1
"ca","6/19/2010",2
"ca","6/20/2006",1
"ca","6/20/2007",3
"ca","6/20/2010",1
"ca","6/20/2012",3
"ca","6/21/2006",1
"ca","6/21/2007",1
"ca","6/21/2011",1
"ca","6/21/2012",1
"ca","6/21/2013",3
"ca","6/22/2007",1
"ca","6/22/2008",1
"ca","6/22/2013",2
"ca","6/23/2005",1
"ca","6/23/2006",2
"ca","6/23/2007",1
"ca","6/23/2012",1
"ca","6/24/2008",1
"ca","6/24/2009",1
"ca","6/24/2010",1
"ca","6/24/2011",1
"ca","6/24/2012",2
"ca","6/24/2013",1
"ca","6/25/2007",1
"ca","6/25/2008",1
"ca","6/25/2009",1
"ca","6/26/2010",1
"ca","6/26/2012",1
"ca","6/26/2013",2
